Rio,Punto_Monitoreo,N_Registros,Año_Min,Año_Max,pH Campo | media,pH Campo | min,pH Campo | max,pH Campo | p90,Temperatura Agua (°C) | media,Temperatura Agua (°C) | min,Temperatura Agua (°C) | max,Temperatura Agua (°C) | p90,Turbiedad (UNT) | media,Turbiedad (UNT) | min,Turbiedad (UNT) | max,Turbiedad (UNT) | p90,Sólidos Suspendidos Totales (mg/l) | media,Sólidos Suspendidos Totales (mg/l) | min,Sólidos Suspendidos Totales (mg/l) | max,Sólidos Suspendidos Totales (mg/l) | p90,DBO (mg O2/l) | media,DBO (mg O2/l) | min,DBO (mg O2/l) | max,DBO (mg O2/l) | p90,DQO (mg O2/l) | media,DQO (mg O2/l) | min,DQO (mg O2/l) | max,DQO (mg O2/l) | p90,Oxígeno Disuelto (mg O2/l) | media,Oxígeno Disuelto (mg O2/l) | min,Oxígeno Disuelto (mg O2/l) | max,Oxígeno Disuelto (mg O2/l) | p90,Nitrógeno Total (mg N/l) | media,Nitrógeno Total (mg N/l) | min,Nitrógeno Total (mg N/l) | max,Nitrógeno Total (mg N/l) | p90,Fósforo Total (mg P/l) | media,Fósforo Total (mg P/l) | min,Fósforo Total (mg P/l) | max,Fósforo Total (mg P/l) | p90,Coliformes Fecales (NMP/100ml) | media,Coliformes Fecales (NMP/100ml) | min,Coliformes Fecales (NMP/100ml) | max,Coliformes Fecales (NMP/100ml) | p90
Rio Bugalagrande,Rio Bugalagrande - Puente Colgante El Placer,15,2016,2024,8.055,7.23,8.68,8.492,19.2867,12.0,25.0,23.26,48.5686,1.8,270.0,79.0,102.7933,11.6,473.0,254.0,1.3921,0.848,2.56,1.954,24.738,9.07,62.0,46.7,7.6387,6.82,8.87,8.182,2.2008,0.5,6.9,5.104,0.0998,0.0509,0.312,0.1088,9198.0,90.0,110000.0,7300.0
Rio Bugalagrande,Rio Bugalagrande - Puente Variante Bugalagrande,18,2016,2025,8.2338,7.72,9.47,8.794,22.7944,14.0,30.2,27.7,78.7062,3.5,360.0,245.0,125.4,11.7,720.0,280.2,1.5147,0.859,2.55,2.103,26.2372,9.07,93.1,55.32,7.4833,6.21,9.17,7.888,1.5894,0.463,5.92,3.694,0.0939,0.0509,0.212,0.1357,2153.4444,36.0,9300.0,4300.0
Rio Bugalagrande,Rio Bugalagrande - Puente antes Caserio San Rafael.,14,2016,2024,8.0658,7.61,8.52,8.472,18.2,12.0,22.9,21.58,58.6154,2.0,230.0,168.0,83.2357,11.6,317.0,197.2,1.5966,0.859,3.24,2.286,21.7479,9.07,76.8,44.81,7.6479,6.56,8.55,8.138,2.1606,0.463,7.14,5.164,0.0849,0.0509,0.165,0.1116,3649.2857,230.0,24000.0,6290.0
Rio Bugalagrande,Rio Bugalagrande - antes desembocadura a Río Cauca - Hacienda El Guayabo,18,2016,2025,8.0793,7.46,9.5,8.256,24.1167,16.0,29.7,26.55,76.1219,3.3,350.0,210.0,130.1833,11.7,667.0,326.2,2.2578,1.11,3.79,2.981,25.6889,10.8,58.4,50.06,7.1506,5.59,11.3,7.564,2.1499,0.625,7.92,4.566,0.1281,0.0509,0.322,0.2145,200451.6667,430.0,1500000.0,601000.0
Rio Risaralda,Río Cauca - Antes río Risaralda,47,2001,2025,7.0902,6.32,7.52,7.37,24.0217,17.5,27.4,26.65,105.634,4.0,635.0,207.0,197.0308,15.7,656.0,414.6,16.9136,0.44,149.0,47.43,52.3128,8.2,286.0,141.4,2.4057,0.7,4.83,4.488,5.0,5.0,5.0,5.0,2.7695,0.539,5.0,4.5539,,,,
Rio Frayle,Rio Frayle - Antes Desembocadura a rio Guachal Recta Cali Palmira,15,2016,2025,7.4867,7.05,8.05,7.842,25.1067,18.0,30.2,28.44,222.6571,12.0,1800.0,471.0,413.9867,15.0,1900.0,1362.0,12.1976,0.924,67.8,20.12,61.14,11.0,302.0,99.48,2.5526,0.5,4.48,4.342,3.1933,2.21,4.42,4.36,0.4108,0.0946,1.11,0.5882,1290635.3333,230.0,15000000.0,1100000.0
Rio Frayle,Rio Frayle - Limnigrafo CVC - caserio Brisas de Frayle,16,2016,2025,7.5425,6.71,8.22,7.97,21.4625,16.0,25.0,23.5,281.6313,19.0,1300.0,925.0,457.875,44.0,2638.0,1200.0,4.9175,1.72,27.6,5.91,30.2544,9.07,87.8,64.3,6.4813,4.86,7.27,7.16,2.1867,0.9,4.11,3.455,0.2226,0.0946,0.982,0.3435,119570.625,40.0,1100000.0,235000.0
Rio Frayle,Rio Frayle - Nacimiento El Pedregal,16,2016,2025,7.694,6.98,8.24,8.04,19.3875,18.0,21.0,20.4,16.1438,1.1,125.0,26.0,26.0938,11.6,143.0,37.5,1.5869,1.1,2.99,1.815,14.4,9.7,24.4,20.1,7.6775,6.99,8.11,8.01,1.0482,0.394,2.14,1.92,0.0855,0.0509,0.11,0.1015,3273.4375,9.0,24000.0,6950.0
Rio Frayle,Rio Frayle - Puente Vía a Miranda,16,2016,2025,7.5787,6.87,8.06,7.956,20.8375,16.0,25.0,23.5,26.7125,1.8,180.0,54.5,52.2313,11.6,358.0,76.15,7.7188,1.25,48.0,20.2,34.55,11.0,96.9,67.75,7.3338,6.08,8.07,8.01,4.3888,0.843,11.3,8.515,0.2862,0.0509,1.36,0.738,3390393.125,230.0,24000000.0,13200000.0
Rio Guabas,Rio Guabas - Antes Mina La Victoria,17,2016,2025,8.0329,7.5,8.29,8.251,17.8588,12.0,22.1,20.9,39.8147,1.5,500.0,27.2,62.4,11.6,720.0,36.0,2.9159,1.41,6.79,4.588,15.6059,9.8,32.2,31.14,7.5365,6.25,8.2,8.002,1.3629,0.78,2.33,2.0,0.1376,0.0509,0.322,0.1974,2369.375,90.0,15000.0,4300.0
Rio Guabas,Rio Guabas - Antes desembocadura a Río Cauca,17,2016,2025,7.8814,7.64,8.1,8.042,23.4471,16.0,28.1,27.08,100.0882,0.75,1300.0,76.0,163.6,11.6,1790.0,163.0,2.5165,1.19,5.64,4.09,19.5824,11.0,49.1,31.3,5.9176,2.73,7.66,7.57,1.8237,0.896,2.7,2.574,0.1514,0.0509,0.297,0.2646,53968.75,1500.0,460000.0,136500.0
Rio Guabas,Rio Guabas - Puente Rojo - Bocatoma Acueducto de Ginebra,15,2016,2025,8.1269,7.54,8.36,8.338,20.26,14.0,24.3,22.9,13.0167,1.1,36.0,29.8,20.6929,11.6,45.0,39.9,1.94,1.0,2.9,2.804,16.8313,9.07,45.9,31.9,7.5173,6.92,8.14,7.982,1.1881,0.784,2.02,1.614,0.098,0.0509,0.271,0.1278,8772.8571,230.0,46000.0,21300.0
Rio Guabas,Rio Guabas - Puente despues Mina La Victoria,10,2017,2024,8.0337,7.49,8.33,8.288,18.13,12.0,23.3,21.5,121.335,2.65,1100.0,139.7,190.99,11.6,1700.0,228.5,2.567,1.33,3.78,3.204,17.78,11.0,60.9,26.16,7.622,7.05,8.52,8.052,1.2706,0.923,1.94,1.728,0.1408,0.0509,0.423,0.2259,2481.3,93.0,9300.0,7680.0
Rio Guabas,Rio Guabas - despues Mina La Victoria,7,2016,2025,8.1183,7.9,8.34,8.315,18.7143,14.2,22.5,21.18,9.1429,1.5,22.0,20.8,19.7167,11.6,37.5,35.25,1.9771,1.02,3.1,3.004,17.7243,9.07,39.2,30.08,7.6971,7.03,8.45,8.204,1.13,1.02,1.24,1.218,0.0933,0.0662,0.17,0.1248,2065.5,73.0,9300.0,5115.0
Rio Guachal,Rio Guachal - Antes Desembocadura a Rio Cauca,16,2016,2025,7.5481,7.13,8.0,7.76,24.5875,18.0,30.5,27.1,83.8067,9.3,390.0,214.0,304.225,14.0,2290.0,432.0,10.2075,3.42,24.0,17.85,85.0938,11.0,768.0,86.5,2.6256,1.06,4.1,3.625,2.808,2.36,3.4,3.304,0.3963,0.0959,0.754,0.5945,7266251.875,230.0,93000000.0,8700000.0
Rio Guadalajara,Rio Guadalajara - Antes desembocadura de Quebrada La Magdalena - puente Colgante,19,2016,2025,7.7586,6.6,8.33,8.201,19.6474,17.0,24.2,22.8,21.8947,1.8,160.0,49.4,32.9526,11.6,200.0,75.8,1.1405,0.228,2.61,1.642,13.9353,9.07,39.2,18.32,7.5495,6.71,7.94,7.876,0.8387,0.463,1.57,1.1985,0.0811,0.0509,0.11,0.0959,6167.0,73.0,24000.0,15300.0
Rio Guadalajara,Rio Guadalajara - Bocatoma Acueducto Buga,19,2016,2025,8.0687,7.3,8.8,8.685,22.2105,19.7,28.4,23.88,18.3526,1.4,130.0,35.8,28.9632,11.6,143.0,54.2,1.5663,0.77,3.26,2.526,14.4458,9.07,41.6,20.62,7.4795,6.44,8.1,7.752,0.6883,0.366,0.9,0.877,0.0816,0.0509,0.0959,0.0959,4681.1111,150.0,24000.0,10800.0
Rio Guadalajara,Rio Guadalajara - La Piscina - Vía a Alaska,19,2016,2025,7.6407,6.6,8.19,8.087,18.2667,15.4,21.3,20.83,10.4084,0.5,90.0,20.4,15.1368,11.6,66.0,14.16,1.4194,0.2,3.45,2.234,15.8668,9.07,46.4,24.5,7.7432,6.94,8.54,8.136,0.8858,0.463,1.61,1.495,0.0819,0.0509,0.0959,0.0959,229.5333,3.0,930.0,562.0
Rio Guadalajara,Rio Guadalajara - Puente Balneario los Guaduales,19,2016,2025,7.8085,6.37,8.3,8.234,21.0211,18.3,24.8,23.12,20.6974,1.0,95.0,60.0,37.2474,11.6,172.0,91.6,1.2412,0.383,2.46,2.052,14.4563,9.07,42.6,23.3,7.4953,6.83,7.93,7.78,0.8987,0.463,1.71,1.52,0.0879,0.0509,0.211,0.0959,6064.0,72.0,24000.0,17700.0
Rio Guadalajara,Rio Guadalajara - Puente Frente vía Ferrea,19,2016,2025,8.154,7.24,9.02,8.842,22.3474,19.5,25.7,25.3,23.0237,1.2,130.0,45.0,34.9632,11.6,146.0,62.8,1.6452,0.55,5.44,2.732,14.6316,10.2,31.7,22.74,7.5716,6.89,8.31,8.09,1.166,0.498,2.55,2.18,0.2844,0.0509,3.36,0.2514,289397.7778,90.0,4600000.0,159100.0
Rio Guadalajara,Rio Guadalajara - antes desembocadura a Rio Cauca (El Porvenir),19,2016,2025,7.75,7.3,8.58,8.085,22.3105,17.0,25.1,24.2,26.9553,1.45,95.0,82.0,43.3,11.6,115.0,97.6,3.3378,0.707,16.8,6.266,18.5616,9.07,84.6,32.78,7.0447,4.12,8.99,7.666,2.7642,0.925,8.46,5.53,0.1873,0.0509,1.12,0.3604,166727.7778,2300.0,1100000.0,472000.0
Rio Risaralda,Río Guatica - Desembocadura río Risaralda,32,2000,2025,7.6997,7.05,8.29,7.939,20.4161,18.2,22.7,22.0,37.7516,2.4,287.0,75.2,84.728,5.8,356.0,186.4,5.6767,0.1,30.5,20.81,24.46,5.0,61.0,41.06,6.18,6.1,6.26,6.244,,,,,,,,,,,,
Rio Riofrio,Rio Riofrio - Rio Guayabal,18,2016,2025,7.7953,6.9,8.32,8.234,21.4611,16.0,27.4,23.28,23.215,0.87,270.0,29.4,33.2278,11.6,314.0,35.5,1.2949,0.559,2.9,2.056,15.1094,9.07,42.2,21.8,7.3356,6.79,7.65,7.579,0.7022,0.438,1.4,1.08,0.0903,0.0509,0.251,0.0959,11124.4706,36.0,93000.0,24000.0
Rio La Paila,Rio La Paila - Antes desembocadura a Rio Cauca,17,2016,2025,7.3712,6.58,7.81,7.75,26.4588,20.0,30.4,29.44,220.2353,22.0,1000.0,540.0,272.1235,11.6,1180.0,531.2,39.2347,2.61,229.0,90.44,123.6706,26.4,587.0,166.8,2.316,0.386,5.8,5.21,2.2033,1.32,3.02,2.855,0.5305,0.067,3.1,0.684,1597292.5,150.0,24000000.0,395000.0
Rio La Paila,Rio La Paila - Planta Acuavalle,18,2016,2025,7.9494,7.4,8.93,8.205,25.6167,20.0,28.6,27.93,130.9806,1.05,714.0,495.0,171.0333,11.6,1140.0,602.0,1.9813,0.954,4.19,2.944,31.0389,11.0,157.0,48.08,6.6094,5.24,7.81,7.385,1.6662,0.937,2.34,2.315,0.1108,0.0509,0.406,0.1399,7932.3529,40.0,43000.0,31600.0
Rio La Paila,Rio La Paila - Puente Paila arriba - vía a Sevilla,18,2016,2025,8.0437,7.0,8.86,8.745,25.7611,21.0,28.8,28.0,56.2889,1.2,600.0,126.0,60.75,11.6,520.0,140.3,1.9802,0.954,4.7,2.639,23.1667,11.0,54.3,46.02,7.6228,4.95,12.8,9.813,1.2465,0.6,2.4,2.06,0.0967,0.0509,0.283,0.1013,69514.7059,210.0,930000.0,71600.0
Rio La Paila,Rio La Paila - antes desembocadura del rio Totoro,19,2016,2025,8.3087,7.63,9.05,8.846,25.7947,21.0,29.0,28.6,96.6579,1.6,693.0,266.0,129.6263,11.6,1290.0,206.2,8.3655,0.954,125.0,3.762,36.6721,9.07,243.0,58.82,6.9958,1.05,10.3,9.378,1.2733,0.419,2.65,2.335,0.1927,0.0509,1.5,0.3018,62319.4444,30.0,930000.0,43900.0
Rio Nima,Rio Nima - Acueducto Nima,18,2016,2025,7.8621,7.08,8.37,8.311,17.0353,10.0,21.4,19.2,35.7639,1.05,320.0,56.0,68.8706,11.6,464.0,117.6,1.3168,0.921,2.1,1.805,16.6133,9.07,42.3,27.96,7.635,6.56,8.22,8.0,1.2376,0.52,3.2,2.374,0.0908,0.0509,0.164,0.1121,1675.4118,36.0,4300.0,4120.0
Rio Nima,Rio Nima - Antes Caserio de tenjo,17,2016,2025,7.8887,7.13,8.35,8.316,15.6,10.0,19.5,18.55,34.9882,0.7,270.0,81.0,68.0176,11.6,404.0,152.4,1.4411,0.924,2.58,2.296,15.8435,9.07,47.5,26.02,7.8129,7.33,8.35,8.15,1.3053,0.683,3.03,2.328,0.1378,0.0509,0.802,0.1708,3512.25,36.0,43000.0,3300.0
Rio Nima,Rio Nima - Antes desembocadura a rio Amaime,18,2016,2025,7.7053,7.0,8.03,8.02,21.3,16.0,27.3,24.06,131.7083,1.25,950.0,355.0,230.4059,11.6,1809.0,599.6,8.6889,1.07,43.6,22.64,32.6082,9.07,217.0,39.12,9.9211,2.55,75.2,7.321,2.9714,1.2,7.87,5.806,0.4269,0.0509,1.89,0.91,567581.1765,90.0,4600000.0,1620000.0
Rio Palo,Antes Bocatoma Propal,8,2010,2012,6.7538,3.23,7.8,7.786,21.6875,19.2,25.0,23.6,96.575,5.9,468.0,240.5,273.5125,12.6,1270.0,843.0,0.625,0.5,0.8,0.8,7.0,4.0,10.0,10.0,7.3375,6.33,8.52,8.282,,,,,,,,,,,,
Rio Palo,Antes de PTAR Guachené,28,2015,2024,9.9271,3.85,79.4,8.155,20.0707,17.3,24.1,22.46,50.0593,2.2,196.0,115.6,177.7926,9.9,572.0,400.0,5.5585,0.5,18.3,10.0,18.8667,4.0,94.1,27.52,7.0141,2.37,9.0,8.441,0.5833,0.16,1.12,0.824,0.286,0.1,1.0,0.505,7252.3077,0.0,140000.0,8410.0
Rio Palo,Bocatoma corregimiento El Palo,19,2017,2024,7.5853,6.51,8.79,8.298,18.4453,16.32,22.6,20.92,31.3263,1.9,128.0,90.86,148.8526,9.9,542.0,327.2,6.1305,0.8,10.0,10.0,14.9632,14.0,18.0,15.62,7.3009,4.277,9.11,8.466,0.64,0.5,1.1,0.904,0.4111,0.1,1.44,1.16,1040.0,0.0,11300.0,1548.0
Rio Palo,Desembocadura a río Cauca,28,2015,2024,7.365,6.15,8.19,7.871,22.7244,19.5,29.2,25.42,70.663,6.9,283.0,144.0,261.337,26.1,1265.0,572.8,6.0926,0.6,10.0,10.0,18.6667,9.4,54.6,30.2,7.2306,1.08,69.42,6.983,0.8978,0.45,1.66,1.292,0.99,0.1,2.87,2.627,3716.5385,0.0,30000.0,7700.0
Rio Palo,Después de PTAR Guachené,21,2017,2024,7.4814,6.51,8.91,7.85,19.8419,17.5,23.9,21.9,44.215,1.7,161.0,113.3,190.535,10.0,563.0,348.8,6.369,0.8,10.0,10.0,18.005,14.0,40.1,27.52,6.9123,4.118,8.6,8.31,0.5956,0.16,1.12,0.864,0.711,0.1,2.58,2.355,2960.0,20.0,16000.0,10296.0
Rio Palo,Puente PICC,21,2017,2024,7.3838,6.23,8.27,7.94,20.9714,18.6,25.0,23.6,54.215,4.6,152.0,127.2,264.5,18.7,748.0,537.3,6.46,0.8,10.0,10.0,16.515,14.0,31.6,20.61,6.0074,4.205,7.69,7.6,0.8522,0.45,1.7,1.38,0.921,0.1,3.63,1.506,2276.0,0.0,25950.0,3300.0
Rio Palo,Puente Perico Negro,28,2015,2024,7.38,6.38,8.31,7.862,21.9696,15.3,29.8,24.86,55.8222,5.0,244.0,110.8,206.0,27.3,592.0,455.4,7.7148,0.8,13.9,11.52,19.1259,10.0,38.4,32.48,5.909,3.65,7.81,7.598,0.9833,0.5,2.02,1.324,0.798,0.1,1.95,1.923,5299.6538,0.0,50000.0,13500.0
Rio Palo,Puente Puerto Tejada,21,2017,2024,8.0581,6.2,21.3,8.16,22.5957,19.4,27.01,25.0,122.68,6.5,898.0,292.9,423.125,70.5,1265.0,727.1,6.715,0.8,10.0,10.0,19.075,10.0,70.4,26.05,5.7878,3.873,7.44,7.2,0.9067,0.41,1.57,1.41,0.561,0.1,1.88,1.772,2310.0,100.0,14670.0,4680.0
Rio Palo,Puente del Maíz,21,2017,2024,7.3186,6.28,7.92,7.88,20.3124,12.1,24.0,22.4,37.525,3.0,132.0,81.08,162.555,10.0,380.0,283.3,6.339,0.8,10.0,10.0,17.83,14.0,51.7,24.1,6.6348,4.371,7.93,7.87,0.5811,0.2,0.93,0.906,0.564,0.1,2.78,1.043,1778.0,0.0,13800.0,3254.0
Rio Parraga,Rio Parraga - antes Desembocadura a rio Frayle,5,2016,2018,7.588,7.3,7.78,7.752,22.44,18.0,24.5,24.34,20.02,4.8,45.0,37.4,155.52,11.6,365.0,329.8,24.382,4.71,44.8,43.56,75.38,51.6,125.0,106.32,0.9312,0.386,2.77,1.862,4.98,4.98,4.98,4.98,0.6746,0.317,1.28,1.0896,561394.6,73.0,2300000.0,1564000.0
Rio Parraga,Rio Parraga - puente via Florida - Pradera,5,2016,2018,7.62,7.25,7.93,7.886,22.44,18.0,24.8,24.4,27.5,5.5,70.0,54.0,82.24,11.6,235.0,192.2,10.39,4.41,31.3,21.632,59.1,14.0,178.0,128.68,4.372,3.14,5.8,5.44,4.77,4.77,4.77,4.77,0.3164,0.0662,0.531,0.4786,505678.0,90.0,2400000.0,1484000.0
Rio Parraga,Rio Parraga - puente vía Candelaria - Florida,5,2016,2018,7.48,6.8,7.91,7.886,23.46,16.0,29.0,27.4,112.82,14.1,465.0,295.4,171.92,11.6,530.0,411.2,53.98,16.0,168.0,113.92,99.14,56.4,199.0,159.4,0.6712,0.386,1.28,1.0164,7.54,7.54,7.54,7.54,0.6178,0.221,0.957,0.8838,529706.0,230.0,1500000.0,1340000.0
Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,18,2016,2025,7.6547,6.63,8.24,8.12,22.6333,17.0,26.3,24.92,41.6722,3.5,270.0,67.5,43.5,11.6,236.0,73.8,1.3451,0.924,2.3,1.961,13.0372,9.07,20.9,19.17,7.4761,6.96,8.65,7.704,0.9844,0.463,2.7,1.8848,0.0845,0.0509,0.141,0.0959,17905.2941,90.0,93000.0,51600.0
Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,16,2016,2025,7.6407,6.49,8.26,8.207,22.4812,17.0,27.0,24.35,28.1375,1.9,85.0,52.5,35.775,11.6,106.0,71.0,1.6724,0.869,2.76,2.37,13.4213,9.07,24.0,18.2,7.4144,7.08,7.94,7.65,0.9496,0.52,1.9,1.5208,0.0847,0.0509,0.0972,0.0959,298242.0,230.0,2400000.0,742000.0
Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,18,2016,2025,7.7353,6.67,8.24,8.186,22.5667,17.0,27.0,25.3,16.9222,2.0,60.0,46.5,26.3353,11.6,145.0,48.78,1.3113,0.631,2.5,2.001,14.5539,9.07,46.1,19.41,7.2522,6.54,7.56,7.503,0.6695,0.25,1.7,1.155,0.1006,0.0509,0.397,0.0959,5754.1176,230.0,24000.0,12600.0
Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,18,2016,2025,7.7541,6.55,8.31,8.278,21.8056,17.0,24.1,23.76,17.5167,2.2,50.0,40.8,34.4412,11.6,264.0,45.6,1.3751,0.869,2.36,2.16,14.6167,11.0,48.2,19.05,7.3194,6.52,7.65,7.63,0.8352,0.463,1.7,1.3216,0.0838,0.0509,0.113,0.0959,36954.1176,90.0,240000.0,99800.0
Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,37,2013,2025,7.6289,6.68,8.24,8.034,17.2135,15.7,19.5,18.4,9.9722,0.74,120.0,17.04,25.2442,2.1,220.0,65.5,1.6262,1.0,2.9,2.008,20.6027,20.0,33.9,20.52,,,,,5.0,5.0,5.0,5.0,0.15,0.15,0.15,0.15,,,,
